NAME|CITY|LAND|Region|Updated
ARC GmbH & Co KG|Offenburg|GERMANY|Europe|10/08/2015
Arca-Leasing GmbH|Ettlingen|GERMANY|Europe|10/08/2015
Arcaris Management GmbH|Düsseldorf|GERMANY|Europe|10/08/2015
Arch Insurance Company (Europe) Ltd. Direktion für Deutschland|Bremen|GERMANY|Europe|10/08/2015
archimedes Leasing GmbH|Bad Ems|GERMANY|Europe|10/08/2015
Arco VerrechnungsSysteme GmbH|Lüneburg|GERMANY|Europe|10/08/2015
Ares Management Limited Niederlassung Deutschland|Frankfurt am Main|GERMANY|Europe|10/08/2015
Arete Trading GmbH|Mülheim an der Ruhr|GERMANY|Europe|10/08/2015
Argentus Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG|Mainz-Kastel|GERMANY|Europe|10/08/2015
ARIAD Asset Management GmbH|Hamburg|GERMANY|Europe|10/08/2015
Armin Lohberger Vermögensverwaltung GmbH|Reichersbeuern|GERMANY|Europe|10/08/2015
Armira Beteiligungen GmbH & Co. KG|München|GERMANY|Europe|10/08/2015
Ars Pecuniae GmbH|Bonn|GERMANY|Europe|10/08/2015
Art-Invest Real Estate Funds GmbH|Köln|GERMANY|Europe|10/08/2015
ARTEMIS Real Asset Management GmbH|München|GERMANY|Europe|10/08/2015
ARVAL Deutschland GmbH|Kirchheim b. München|GERMANY|Europe|10/08/2015
arvato media GmbH|Gütersloh|GERMANY|Europe|10/08/2015
ARZ Service GmbH|Haan, Rheinl|GERMANY|Europe|10/08/2015
AS Abrechnungsstelle für Heil-, Hilfs- und Pflegeberufe AG|Bremen|GERMANY|Europe|10/08/2015
Asgard Capital Verwaltung GmbH|Potsdam|GERMANY|Europe|10/08/2015
Asian Development Bank European Representative Office|Frankfurt am Main|GERMANY|Europe|10/08/2015
Aspecta Assurance International Luxembourg S.A. - Niederlassung für Deutschland|Hannover|GERMANY|Europe|10/08/2015
Aspen Insurance UK Limited Niederlassung Deutschland|Köln|GERMANY|Europe|10/08/2015
Aspera Grundstücksverwaltungsgesellschaft mbH & Co. Vermietungs KG|Mainz a Rhein|GERMANY|Europe|10/08/2015
Assenagon Asset Management S.A. Zweigniederlassung München|München|GERMANY|Europe|10/08/2015
Asset Allocation AG Vermögensanlagen - Consulting|München|GERMANY|Europe|10/08/2015
Asset Concepts GmbH|Bad Neuenahr-Ahrweiler|GERMANY|Europe|10/08/2015
ASSTEL Sachversicherung AG|Köln|GERMANY|Europe|10/08/2015
Assurant Allgemeine, Zweigniederlassung der Assurant General Insurance Ltd.|Frankfurt am Main|GERMANY|Europe|10/08/2015
Assurant Leben Zweigniederlassung der Assurant Life Limited|Frankfurt am Main|GERMANY|Europe|10/08/2015
Astorius Capital GmbH|Hamburg|GERMANY|Europe|10/08/2015
