Name,Location,Federal state,Organisation,Branches,Categ,Country,,,
VR Bank Leipziger Land eG,Borna,Saxony,GV,18,German Coop,Germany,,,
Eckernförder Bank eG Volksbank - Raiffeisenbank,Eckernförde,Schleswig-Holstein,GV,18,German Coop,Germany,,,
Volksbank Brackenheim-Güglingen eG,Brackenheim,Baden-Württemberg,BWGV,17,German Coop,Germany,,,
Raiffeisenbank im Kreis Calw eG,Neubulach,Baden-Württemberg,BWGV,17,German Coop,Germany,,,
Volksbank Bruhrain-Kraich-Hardt eG,Oberhausen-Rheinhausen,Baden-Württemberg,BWGV,17,German Coop,Germany,,,
VR-Bank Alb eG,Sonnenbühl,Baden-Württemberg,BWGV,17,German Coop,Germany,,,
Volksbank Tübingen eG,Tübingen,Baden-Württemberg,BWGV,17,German Coop,Germany,,,
Raiffeisenbank Obermain Nord eG,Altenkunstadt,Bavaria,GVB,17,German Coop,Germany,,,
Volksbank Raiffeisenbank Eichstätt eG,Eichstätt,Bavaria,GVB,17,German Coop,Germany,,,
Genobank Rhön-Grabfeld eG,Mellrichstadt,Bavaria,GVB,17,German Coop,Germany,,,
Raiffeisenbank Neumarkt i.d. OPf. eG,Neumarkt in der Oberpfalz,Bavaria,GVB,17,German Coop,Germany,,,
